doc_id,event_category,event_name,description,date,year,month,visibility_regions
1,Solar Eclipse,Annular Solar Eclipse,"Annular solar eclipse occurring on 2021-06-10 visible in Canada, Greenland, Russia.",2021-06-10,2021,June,Canada|Greenland|Russia
2,Solar Eclipse,Total Solar Eclipse,Total solar eclipse occurring on 2021-12-04 visible in Antarctica.,2021-12-04,2021,December,Antarctica
3,Solar Eclipse,Partial Solar Eclipse,Partial solar eclipse occurring on 2022-04-30 visible in South America.,2022-04-30,2022,April,South America
4,Solar Eclipse,Partial Solar Eclipse,"Partial solar eclipse occurring on 2022-10-25 visible in Europe, Africa, Middle East, Asia.",2022-10-25,2022,October,Europe|Africa|Middle East|Asia
5,Solar Eclipse,Hybrid Solar Eclipse,"Hybrid solar eclipse occurring on 2023-04-20 visible in Indonesia, Australia, Papua New Guinea.",2023-04-20,2023,April,Indonesia|Australia|Papua New Guinea
6,Solar Eclipse,Annular Solar Eclipse,"Annular solar eclipse occurring on 2023-10-14 visible in USA, Central America, Colombia, Brazil.",2023-10-14,2023,October,USA|Central America|Colombia|Brazil
7,Solar Eclipse,Total Solar Eclipse,"Total solar eclipse occurring on 2024-04-08 visible in Mexico, USA, Canada.",2024-04-08,2024,April,Mexico|USA|Canada
8,Solar Eclipse,Annular Solar Eclipse,"Annular solar eclipse occurring on 2024-10-02 visible in Chile, Argentina.",2024-10-02,2024,October,Chile|Argentina
9,Solar Eclipse,Partial Solar Eclipse,"Partial solar eclipse occurring on 2025-03-29 visible in Africa, Europe, Russia.",2025-03-29,2025,March,Africa|Europe|Russia
10,Solar Eclipse,Partial Solar Eclipse,"Partial solar eclipse occurring on 2025-09-21 visible in Pacific, New Zealand, Antarctica.",2025-09-21,2025,September,Pacific|New Zealand|Antarctica
11,Solar Eclipse,Annular Solar Eclipse,Annular solar eclipse occurring on 2026-02-17 visible in Antarctica.,2026-02-17,2026,February,Antarctica
12,Solar Eclipse,Total Solar Eclipse,"Total solar eclipse occurring on 2026-08-12 visible in Arctic, Greenland, Iceland, Spain.",2026-08-12,2026,August,Arctic|Greenland|Iceland|Spain
13,Solar Eclipse,Annular Solar Eclipse,"Annular solar eclipse occurring on 2027-02-06 visible in Chile, Argentina.",2027-02-06,2027,February,Chile|Argentina
14,Solar Eclipse,Total Solar Eclipse,"Total solar eclipse occurring on 2027-08-02 visible in Morocco, Spain, Saudi Arabia.",2027-08-02,2027,August,Morocco|Spain|Saudi Arabia
15,Solar Eclipse,Annular Solar Eclipse,"Annular solar eclipse occurring on 2028-01-26 visible in Ecuador, Peru, Brazil, Spain, Portugal.",2028-01-26,2028,January,Ecuador|Peru|Brazil|Spain|Portugal
16,Solar Eclipse,Total Solar Eclipse,"Total solar eclipse occurring on 2028-07-22 visible in Australia, New Zealand.",2028-07-22,2028,July,Australia|New Zealand
17,Solar Eclipse,Partial Solar Eclipse,"Partial solar eclipse occurring on 2029-01-14 visible in North America, Canada.",2029-01-14,2029,January,North America|Canada
18,Solar Eclipse,Partial Solar Eclipse,"Partial solar eclipse occurring on 2029-06-12 visible in Arctic, Scandinavia, Alaska.",2029-06-12,2029,June,Arctic|Scandinavia|Alaska
19,Solar Eclipse,Partial Solar Eclipse,"Partial solar eclipse occurring on 2029-07-11 visible in Chile, Argentina.",2029-07-11,2029,July,Chile|Argentina
20,Solar Eclipse,Partial Solar Eclipse,"Partial solar eclipse occurring on 2029-12-05 visible in Argentina, Chile, Antarctica.",2029-12-05,2029,December,Argentina|Chile|Antarctica
21,Solar Eclipse,Annular Solar Eclipse,"Annular solar eclipse occurring on 2030-06-01 visible in Algeria, Tunisia, Greece, Turkey, Russia, China, Japan.",2030-06-01,2030,June,Algeria|Tunisia|Greece|Turkey|Russia|China|Japan
22,Solar Eclipse,Total Solar Eclipse,"Total solar eclipse occurring on 2030-11-25 visible in Botswana, South Africa, Australia.",2030-11-25,2030,November,Botswana|South Africa|Australia
23,Solar Eclipse,Annular Solar Eclipse,"Annular solar eclipse occurring on 2031-05-21 visible in Angola, Congo, Zambia, Tanzania, India, Malaysia, Indonesia.",2031-05-21,2031,May,Angola|Congo|Zambia|Tanzania|India|Malaysia|Indonesia
24,Solar Eclipse,Hybrid Solar Eclipse,"Hybrid solar eclipse occurring on 2031-11-14 visible in Pacific, Panama.",2031-11-14,2031,November,Pacific|Panama
25,Solar Eclipse,Annular Solar Eclipse,Annular solar eclipse occurring on 2032-05-09 visible in Atlantic.,2032-05-09,2032,May,Atlantic
26,Solar Eclipse,Partial Solar Eclipse,Partial solar eclipse occurring on 2032-11-03 visible in Asia.,2032-11-03,2032,November,Asia
27,Solar Eclipse,Total Solar Eclipse,"Total solar eclipse occurring on 2033-03-30 visible in Russia, Alaska.",2033-03-30,2033,March,Russia|Alaska
28,Solar Eclipse,Partial Solar Eclipse,"Partial solar eclipse occurring on 2033-09-23 visible in South America, Antarctica.",2033-09-23,2033,September,South America|Antarctica
29,Solar Eclipse,Total Solar Eclipse,"Total solar eclipse occurring on 2034-03-20 visible in Nigeria, Cameroon, Chad, Sudan, Egypt, Saudi Arabia, Iran, Afghanistan, Pakistan, India, China.",2034-03-20,2034,March,Nigeria|Cameroon|Chad|Sudan|Egypt|Saudi Arabia|Iran|Afghanistan|Pakistan|India|China
30,Solar Eclipse,Annular Solar Eclipse,"Annular solar eclipse occurring on 2034-09-12 visible in Chile, Bolivia, Argentina, Paraguay, Brazil.",2034-09-12,2034,September,Chile|Bolivia|Argentina|Paraguay|Brazil
31,Solar Eclipse,Annular Solar Eclipse,"Annular solar eclipse occurring on 2035-03-09 visible in New Zealand, Pacific.",2035-03-09,2035,March,New Zealand|Pacific
32,Solar Eclipse,Total Solar Eclipse,"Total solar eclipse occurring on 2035-09-02 visible in China, Korea, Japan, Pacific.",2035-09-02,2035,September,China|Korea|Japan|Pacific
33,Solar Eclipse,Partial Solar Eclipse,"Partial solar eclipse occurring on 2036-02-27 visible in Antarctica, Australia, New Zealand.",2036-02-27,2036,February,Antarctica|Australia|New Zealand
34,Solar Eclipse,Partial Solar Eclipse,Partial solar eclipse occurring on 2036-07-23 visible in Atlantic.,2036-07-23,2036,July,Atlantic
35,Solar Eclipse,Partial Solar Eclipse,"Partial solar eclipse occurring on 2036-08-21 visible in Alaska, Canada, Arctic, Western Europe, Northwest Africa.",2036-08-21,2036,August,Alaska|Canada|Arctic|Western Europe|Northwest Africa
36,Solar Eclipse,Partial Solar Eclipse,"Partial solar eclipse occurring on 2037-01-16 visible in North Africa, Europe, Middle East, Asia.",2037-01-16,2037,January,North Africa|Europe|Middle East|Asia
